#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
1467;J1755-3716;17:55:35.4;-37:16:10.7;78.210119;-1.900e-16;6.38;5.87e+32;
1468;J1756+18;17:56:00;+18:19;1.344086;*;5.09;*;
1469;J1756-2225;17:56:25.5;-22:25:48;2.469256;-3.213e-13;5.02;3.13e+34;
1470;J1756-2251;17:56:46.6;-22:51:59.3;35.135073;-1.256e-15;0.73;1.74e+33;
1471;B1753-24;17:56:57.9;-24:35:34;1.491469;-6.334e-16;4.96;3.73e+31;
1472;J1756-25;17:56:42;-25:28;1.168243;*;10.39;*;
1473;J1756-2619;17:57:19.3;-26:19:08;1.380236;-2.358e-15;7.74;1.29e+32;
1474;J1757-15;17:57:24;-15:03:18;5.574136;*;4.19;*;
1475;J1757-2223;17:57:50.7;-22:23:49;5.396360;-2.277e-14;4.11;4.85e+33;
1476;B1754-24;17:57:29.3;-24:22:07.4;4.271668;-2.357e-13;3.51;3.98e+34;
1477;J1757-27;17:57:54.7;-27:45;56.538014;-6.713e-16;5.42;1.50e+33;
1478;J1757-5322;17:57:15.1;-53:22:26.3;112.740064;-3.343e-16;1.36;1.49e+33;
1479;J1758-1931;17:58:05.6;-19:31:41;1.443936;-3.527e-14;4.23;2.01e+33;
1480;J1758-2206;17:58:44.4;-22:06:45;2.324077;-5.166e-15;11.38;4.74e+32;
1481;J1758-2540;17:58:31.9;-25:40:49;0.474549;-3.500e-16;3.85;6.56e+30;
1482;J1758-2630;17:58:34.2;-26:30:10;0.831329;-3.570e-15;4.99;1.17e+32;
1483;J1758-2846;17:58:15.4;-28:46:02;1.304280;-1.600e-16;1.71;8.24e+30;
1484;J1758+3030;17:58:25.8;+30:30:24.0;1.055681;-8.024e-16;2.67;3.34e+31;
1485;J1759-1029;17:59:34.3;-10:29:57;0.398048;-2.494e-15;3.77;3.92e+31;
1486;J1759-1736;17:59:28.1;-17:36:10;1.252424;-4.000e-16;4.75;1.98e+31;
1487;J1759-1903;17:59:41.7;-19:03:19;1.367044;-5.730e-15;13.30;3.09e+32;
1488;J1759-1940;17:59:57.0;-19:40:29;3.925874;-1.440e-15;5.24;2.23e+32;
1489;J1759-1956;17:59:35.4;-19:56:08;0.351693;-2.297e-15;4.44;3.19e+31;
1490;B1756-22;17:59:24.1;-22:05:33.0;2.169319;-5.117e-14;3.54;4.38e+33;
1491;J1759-2302;17:59:49.2;-23:02:08;1.233475;-1.635e-14;11.88;7.96e+32;
1492;J1759-2307;17:59:30.9;-23:07:17;1.789265;-1.204e-14;11.20;8.51e+32;
1493;J1759-24;17:59:24;-24:02;0.685994;*;10.78;*;
1494;J1759-2549;17:59:35.1;-25:49:07;1.045425;-1.088e-13;5.94;4.49e+33;
1495;J1759-2922;17:59:48.2;-29:22:07;1.740946;-1.403e-14;1.92;9.64e+32;
1496;J1759-3107;17:59:22.0;-31:07:21.5;0.926824;-3.238e-15;3.36;1.18e+32;
1497;J1800-0125;18:00:22.0;-01:25:30.6;1.276837;-1.881e-14;2.24;9.48e+32;
1498;J1800-2114;18:00:12.3;-21:14:19;0.555780;-1.700e-16;11.18;3.73e+30;
1499;B1757-23;18:00;-23:43;0.970101;*;4.38;*;
1500;J1800+50;18:01;+50:28;1.729015;*;1.47;*;
1501;B1758-03;18:01:22.6;-03:57:55.0;1.085198;-3.898e-15;7.13;1.67e+32;
1502;J1801-0857A;18:01:50.6;-08:57:31.8;139.360885;9.965e-15;7.20;*;
1503;J1801-0857B;18:01:50.5;-08:57:32.8;34.528494;-2.612e-15;7.20;3.56e+33;
1504;J1801-0857C;18:01:50.7;-08:57:32.7;267.472675;4.650e-15;7.20;*;
1505;J1801-0857D;18:01:55.3;-08:57:24.3;236.600598;-3.863e-16;7.20;3.61e+33;
1506;J1801-1417;18:01:51.0;-14:17:34.5;275.854713;-4.040e-16;1.80;4.40e+33;
1507;J1801-1855;18:01:22.3;-18:55:49;0.392080;-2.800e-17;11.91;4.33e+29;
1508;J1801-1909;18:01:46.6;-19:09:36;0.901937;-5.720e-16;4.81;2.04e+31;
1509;J1801-2115;18:01:32.4;-21:15:18;2.282515;-8.100e-17;12.26;7.30e+30;
1510;J1801-2154;18:01:08.3;-21:54:32;2.664557;-1.136e-13;5.16;1.19e+34;
1511;B1758-23;18:01:19.8;-23:04:44.2;2.404846;-6.531e-13;4.00;6.20e+34;
1512;B1757-24;18:01:00.0;-24:51:27.5;8.004854;-8.196e-12;4.61;2.59e+36;
1513;B1758-29;18:01:46.8;-29:20:38.6;0.924293;-2.813e-15;3.27;1.03e+32;
1514;J1801-3210;18:01:25.8;-32:10:53.7;134.163639;8.000e-19;5.08;*;
1515;J1801-3458;18:01:52.6;-34:58:37;0.721707;-2.070e-16;4.96;5.90e+30;
1516;J1802+0128;18:02:27.4;+01:28:23.7;1.804202;-6.865e-15;8.79;4.89e+32;
1517;J1802+03;18:02:44;+03:38;1.505344;*;5.12;*;
1518;J1802-05;18:02:12;-05:23:53;0.594884;*;6.82;*;
1519;J1802-1745;18:02:14.8;-17:45:17;1.942987;-2.130e-15;5.22;1.63e+32;
1520;J1802-2124;18:02:05.3;-21:24:03.6;79.066424;-4.536e-16;3.33;1.42e+33;
1521;J1802-2426;18:02:03.1;-24:26:43;1.757447;-2.645e-14;12.13;1.83e+33;
1522;J1802-3346;18:02:55.2;-33:46:45;0.406330;-2.179e-16;10.24;3.50e+30;
1523;J1803-1616;18:03:34.6;-16:16:30;1.863600;-6.152e-15;12.90;4.53e+32;
1524;J1803-1857;18:03:59.0;-18:57:19;0.349121;-1.849e-15;5.88;2.55e+31;
1525;J1803-1920;18:03:29.4;-19:20:41;2.254035;-1.675e-15;6.46;1.49e+32;
1526;B1800-21;18:03:51.4;-21:37:07.3;7.481283;-7.520e-12;4.40;2.22e+36;
1527;J1803-2149;18:03:09.6;-21:49:13;9.404498;-1.726e-12;*;6.41e+35;
1528;B1800-27;18:03:31.6;-27:12:06;2.990293;-1.530e-16;3.62;1.81e+31;
1529;J1803-30;18:03:34.1;-30:02:02;140.825236;*;7.80;*;
1530;J1803-3002B;18:03:34.1;-30:02:02;227.427792;*;7.80;*;
1531;J1803-3002C;18:03:34.1;-30:02:02;171.232877;*;7.80;*;
1532;J1803-3329;18:03:44.4;-33:29:10.7;1.578751;-8.405e-16;6.01;5.24e+31;
1533;B1802-07;18:04:49.8;-07:35:24.6;43.288441;-8.753e-16;7.80;1.50e+33;
1534;J1804-2228;18:04:28.1;-22:28:18;1.752816;-4.400e-16;5.33;3.04e+31;
1535;J1804-2717;18:04:21.1;-27:17:31.2;107.031651;-4.684e-16;1.17;1.98e+33;
1536;J1804-28;18:04:48;-28:07;0.785539;*;4.80;*;
1537;B1802+03;18:05:10.1;+03:06:30.2;4.572232;-2.089e-14;5.00;3.77e+33;
1538;J1805-0619;18:05:31.4;-06:19:45.4;2.199491;-4.688e-15;6.69;4.07e+32;
1539;J1805-1504;18:05:06.1;-15:04:36;0.846547;-1.960e-16;5.30;6.55e+30;
1540;J1805-2032;18:05:37.0;-20:32:51;2.464453;-5.098e-14;11.87;4.96e+33;
1541;J1805-2037;18:05:28.1;-20:37:16;2.794805;-1.371e-14;9.26;1.51e+33;
1542;J1805-2447;18:05:25.9;-24:47:30;1.511940;-1.330e-17;4.79;7.94e+29;
1543;J1805-2948;18:05:42.4;-29:48:00;2.334589;-2.583e-15;4.61;2.38e+32;
1544;J1806+1023;18:06:52.1;+10:23:18.3;2.064894;-2.441e-16;3.27;1.99e+31;
1545;B1804-12;18:06:06.7;-11:54:28.7;1.913442;-5.158e-15;3.56;3.90e+32;
1546;J1806-1618;18:06:25.7;-16:18:38;1.496313;-1.930e-15;6.36;1.14e+32;
1547;J1806-1920;18:06:06.6;-19:20:23;1.136634;-2.200e-17;10.16;9.87e+29;
1548;J1806-2125;18:06:19.5;-21:25:40;2.075596;-5.230e-13;10.02;4.29e+34;
1549;J1807+04;18:07:25;+04:05;1.251721;*;2.66;*;
1550;J1807+0756;18:07:51.2;+07:56:43.3;2.153778;-6.003e-16;7.66;5.10e+31;
1551;B1804-08;18:07:38.0;-08:47:43.2;6.107714;-1.074e-15;1.50;2.59e+32;
1552;J1807-2459A;18:07:20.3;-24:59:52.9;326.856263;4.632e-16;2.79;*;
1553;J1807-2459B;18:07:20.8;-25:00:01.9;238.881431;-4.698e-15;2.79;4.43e+34;
1554;J1807-2557;18:07:13.6;-25:57:20;0.361769;-6.536e-16;11.21;9.33e+30;
1555;B1804-27;18:07:08.4;-27:15:03.0;1.208056;-1.776e-14;9.63;8.47e+32;
1556;J1808+00;18:08:19;+00:34;2.352305;*;10.31;*;
1557;J1808-0813;18:08:09.4;-08:13:01.8;1.141495;-1.616e-15;5.18;7.28e+31;
1558;J1808-1020;18:08:45.6;-10:20:48.3;1.675061;-2.167e-15;8.50;1.43e+32;
1559;J1808-1517;18:08:39.0;-15:17:40;1.836381;-8.994e-15;4.16;6.52e+32;
1560;J1808-1726;18:08:42.3;-17:26:27;4.148783;-2.000e-16;8.57;3.28e+31;
1561;J1808-2024;18:08:39.3;-20:24:39.8;0.132347;-9.616e-12;13.00;5.02e+34;
1562;B1805-20;18:08:06.3;-20:58:08;1.088838;-2.024e-14;7.35;8.70e+32;
1563;J1808-2701;18:08:13.2;-27:01:21;0.406854;-1.089e-14;2.45;1.75e+32;
1564;J1808-3249;18:08:04.4;-32:49:34;2.740385;-5.294e-14;5.06;5.73e+33;
1565;J1809-0119;18:09:51.3;-01:19:29.0;1.342324;-4.126e-15;10.59;2.19e+32;
1566;J1809-0743;18:09:35.9;-07:43:01.4;3.185873;-1.544e-15;17.82;1.94e+32;
1567;J1809-1429;18:09:45.5;-14:29:25.0;1.116962;-6.537e-15;12.01;2.88e+32;
1568;J1809-1850;18:09:37.2;-18:50:55;0.889299;-8.363e-15;7.06;2.94e+32;
1569;J1809-1917;18:09:43.1;-19:17:38.1;12.085047;-3.729e-12;3.71;1.78e+36;
1570;J1809-1943;18:09:51.0;-19:43:51.9;0.180494;-2.530e-13;3.60;1.80e+33;
1571;J1809-2004;18:09:15.8;-20:04:12;2.299848;-3.850e-14;10.91;3.50e+33;
1572;B1806-21;18:09:14.3;-21:09:02.9;1.423663;-7.746e-15;5.20;4.35e+32;
1573;J1809-2332;18:09:50.2;-23:32:22.6;6.812521;-1.597e-12;*;4.30e+35;
1574;J1809-3547;18:09:26.9;-35:47:18;1.162267;-1.621e-16;13.02;7.44e+30;
1575;J1810-1441;18:10:59.1;-14:41:33.6;4.603765;-5.060e-16;5.88;9.20e+31;
1576;J1810+1744;18:10:37.2;+17:44:37.3;602.409639;*;2.49;*;
1577;J1810-1820;18:10:55.5;-18:20:39;6.505492;-2.210e-15;5.59;5.68e+32;
1578;J1810-2005;18:10:58.9;-20:05:08.2;30.467142;-1.368e-16;4.05;1.65e+32;
1579;B1806-53;18:10:44.4;-53:38:07.7;3.830694;-5.620e-15;2.00;8.50e+32;
1580;J1811-0154;18:11:19.8;-01:54:30.9;1.081146;-1.880e-15;9.56;8.02e+31;
1581;J1811+0702;18:11:20.4;+07:02:29.7;2.165849;-1.263e-14;3.13;1.08e+33;
1582;J1811-1049;18:11:17.0;-10:49:03;0.381118;-1.162e-16;8.50;1.75e+30;
1583;J1811-1717;18:11:26.5;-17:17:47;2.555028;-7.834e-16;7.03;7.90e+31;
1584;J1811-1736;18:11:55.0;-17:36:37.7;9.598591;-8.301e-17;5.93;3.15e+31;
1585;J1811-1835;18:11:29.7;-18:35:44;1.793839;-2.032e-14;9.36;1.44e+33;
1586;J1811-1925;18:11:29.2;-19:25:28;15.463838;-1.052e-11;5.00;6.42e+36;
1587;J1811-2405;18:11:19.8;-24:05:18.3;375.856014;-1.890e-15;1.70;2.80e+34;
1588;J1811-2439;18:11:55.5;-24:39:53;2.404928;-1.719e-15;3.85;1.63e+32;
1589;J1811-4930;18:11:27.1;-49:30:20.8;0.697981;-1.098e-15;2.01;3.03e+31;
1590;B1810+02;18:12:53.1;+02:26:57.1;1.259600;-5.711e-15;6.16;2.84e+32;
1591;B1809-173;18:12:07.2;-17:18:29.5;0.829618;-1.313e-14;4.20;4.30e+32;
1592;B1809-176;18:12:15.8;-17:33:37;1.857560;-3.390e-15;6.32;2.49e+32;
1593;J1812-1910;18:12:34.8;-19:10:39;2.320234;-2.032e-13;11.54;1.86e+34;
1594;J1812-2102;18:12:20.9;-21:02:36;0.817426;-1.597e-14;9.62;5.15e+32;
1595;J1812-2526;18:12:32.3;-25:26:38;3.166210;-1.779e-15;14.71;2.22e+32;
1596;J1812-2748;18:12:40.5;-27:48:03;4.219706;-5.620e-15;3.03;9.36e+32;
1597;J1812-3039;18:12:44.9;-30:39:21;1.702195;-1.913e-15;4.61;1.29e+32;
1598;J1813-1246;18:13:23.7;-12:45:59.2;20.802023;-7.600e-12;*;6.24e+36;
1599;J1813-1749;18:13:35.1;-17:49:57.4;22.371712;-6.333e-11;4.70;5.59e+37;
1600;J1813+1822;18:13:38.7;+18:22:15.0;2.972434;-1.855e-16;6.24;2.18e+31;
1601;J1813-2113;18:13:39.8;-21:13:00.4;2.344851;-1.144e-14;8.75;1.06e+33;
1602;J1813-2242;18:13:29.1;-22:42:06;3.044008;-4.430e-16;6.78;5.32e+31;
1603;J1813-2621;18:13:40.5;-26:21:57.0;225.733042;-6.352e-16;3.37;5.66e+33;
1604;B1811+40;18:13:13.2;+40:13:39.0;1.074011;-2.940e-15;4.32;1.25e+32;
1605;J1814-0521;18:14:26.1;-05:21:37.0;0.985980;-8.594e-16;4.37;3.35e+31;
1606;J1814-0618;18:14:41.2;-06:18:01.7;0.725759;-1.540e-16;5.63;4.41e+30;
1607;J1814+1130;18:14:42.7;+11:30:43.9;1.331095;-2.942e-15;4.53;1.55e+32;
1608;J1814-1649;18:14:37.3;-16:49:28;1.044426;-6.908e-15;9.62;2.85e+32;
1609;J1814-1744;18:14:43.1;-17:44:48;0.251515;-4.711e-14;9.77;4.68e+32;
1610;J1815-1738;18:15:14.6;-17:38:03.0;5.039415;-1.977e-12;9.01;3.93e+35;
1611;J1815-1910;18:15:03.0;-19:10:00.4;0.800049;-2.323e-14;7.69;7.34e+32;
1612;J1815+55;18:15;+55:29;2.343007;*;3.87;*;
1613;J1816-0755;18:16:24.5;-07:55:22.5;4.594687;-1.368e-13;3.21;2.48e+34;
1614;J1816-1446;18:16:29.1;-14:46:30;1.682086;-3.752e-15;8.98;2.49e+32;
1615;B1813-17;18:16:18.6;-17:29:02.7;1.278260;-1.187e-14;6.48;5.99e+32;
1616;B1813-26;18:16:35.4;-26:49:53;1.686667;-1.889e-16;3.61;1.26e+31;
1617;J1816+4510;18:16:35.9;+45:10:33.8;313.174936;-4.227e-15;4.20;5.23e+34;
1618;J1816-5643;18:16:36.4;-56:43:42.1;4.588779;-4.064e-17;3.06;7.36e+30;
1619;J1817-0743;18:17:49.7;-07:43:18.9;2.282608;1.200e-17;0.77;*;
1620;J1817-1511;18:17:36.2;-15:11:39;4.452284;-2.837e-14;11.58;4.99e+33;
1621;J1817-1938;18:17:06.8;-19:38:36;0.488559;-8.593e-17;10.74;1.66e+30;
1622;B1814-23;18:17;-23:11;1.598798;*;5.61;*;
1623;B1813-36;18:17:05.7;-36:18:04.0;2.583866;-1.366e-14;3.78;1.39e+33;
1624;J1817-3837;18:17:00.2;-38:37:59.7;2.600870;-3.925e-15;5.23;4.03e+32;
1625;J1818-01;18:18:15;-01:49:02;1.192606;*;15.45;*;
1626;J1818-1116;18:18:26.4;-11:16:29;1.835538;-1.289e-14;10.29;9.34e+32;
1627;B1815-14;18:18:23.7;-14:22:36.7;3.430656;-2.396e-14;8.10;3.24e+33;
1628;J1818-1448;18:18:27.9;-14:48:38;3.554023;-7.768e-14;7.96;1.09e+34;
1629;J1818-1519;18:18:14.6;-15:19:43;1.064181;-4.650e-15;9.98;1.95e+32;
1630;J1818-1541;18:18:37.5;-15:41:45;1.814442;-3.185e-14;8.24;2.28e+33;
1631;J1818-1556;18:18:51.9;-15:56:04;1.049639;-7.780e-16;4.01;3.22e+31;
1632;J1819-0925;18:19:50.5;-09:25:49.9;1.173644;-4.312e-15;11.10;2.00e+32;
1633;J1819-1008;18:19:39.9;-10:08:28;3.316861;-1.453e-14;10.75;1.90e+33;
1634;J1819-1114;18:19:28.7;-11:14:43;3.399481;-6.541e-15;5.82;8.78e+32;
1635;J1819-1131;18:19:58.1;-11:31:29;0.720390;-3.950e-16;12.25;1.12e+31;
1636;J1819+1305;18:19:56.2;+13:05:15.2;0.943073;-3.195e-16;4.41;1.19e+31;
1637;J1819-1318;18:19:43.6;-13:18:42;0.659763;-2.600e-16;1.52;6.77e+30;
1638;J1819-1408;18:19:56.8;-14:08:01.6;0.559131;-8.100e-16;12.45;1.79e+31;
1639;J1819-1458;18:19:34.1;-14:58:03.5;0.234568;-3.165e-14;3.81;2.93e+32;
1640;J1819-1510;18:19:53.6;-15:10:20.6;4.414251;-1.530e-16;5.61;2.67e+31;
1641;J1819-17;18:19:30;-17:05;0.425146;*;1.85;*;
1642;J1819-1717;18:19:43.4;-17:17:16;2.541156;-2.231e-14;5.87;2.24e+33;
1643;B1818-04;18:20:52.6;-04:27:38.1;1.672029;-1.770e-14;0.30;1.17e+33;
1644;J1820-0509;18:20:22.7;-05:09:38.5;2.964537;-8.193e-15;2.81;9.59e+32;
1645;B1817-13;18:20:19.7;-13:46:15.3;1.085235;-5.294e-15;9.63;2.27e+32;
1646;J1820-1529;18:20:40.8;-15:29:50;3.000815;-3.414e-13;9.60;4.04e+34;
1647;B1817-18;18:20:39.0;-18:18:03.3;3.226800;-9.747e-16;8.43;1.24e+32;
1648;J1821+0155;18:21:38.8;+01:55:21.9;29.602148;-2.541e-17;2.29;2.97e+31;
1649;J1821-0256;18:21:10.3;-02:56:38.6;2.414811;-2.170e-16;2.55;2.07e+31;
1650;J1821-0331;18:21:44.7;-03:31:12.7;1.108260;-3.107e-15;5.56;1.36e+32;
1651;J1821-1419;18:21:34.3;-14:19:26;0.603861;-3.262e-13;11.93;7.78e+33;
1652;J1821-1432;18:21:39.7;-14:32:53.2;0.522158;-1.465e-15;6.95;3.02e+31;
1653;J1821+1715;18:21:13.5;+17:15:47.0;0.731699;-4.665e-16;4.68;1.35e+31;
1654;J1821+41;18:22;+41:45;0.792527;*;3.76;*;
1655;J1822+0705;18:22:18.4;+07:05:19.0;0.733774;-9.408e-16;3.02;2.73e+31;
1656;J1822-0848;18:22:51.8;-08:48:59.0;0.399278;-6.430e-17;4.19;1.01e+30;
1657;J1822-0907;18:22:39.8;-09:07:36;1.025956;-3.740e-16;12.31;1.51e+31;
1658;J1822+1120;18:22:14.6;+11:20:56.2;0.559586;-7.346e-16;8.77;1.62e+31;
1659;J1822-1252;18:22:41.7;-12:52:49;0.482849;-1.976e-14;10.61;3.77e+32;
1660;B1820-14;18:22:54.0;-14:00:02.4;4.656120;-1.966e-14;7.77;3.61e+33;
1661;J1822-1604;18:22:18.0;-16:04:26.8;0.118515;-3.000e-16;*;1.40e+30;
1662;J1822-1617;18:22:36.6;-16:17:35;1.203144;-2.729e-15;11.64;1.30e+32;
1663;B1819-22;18:22:58.9;-22:56:31;0.533541;-3.856e-16;3.43;8.12e+30;
1664;J1822-4209;18:22:11.3;-42:09:10.9;2.190523;-2.201e-15;3.50;1.90e+32;
1665;J1823-0154;18:23:52.1;-01:54:04.6;1.316175;-1.960e-15;4.56;1.02e+32;
1666;B1821+05;18:23:30.9;+05:50:24.3;1.328186;-4.000e-16;2.00;2.10e+31;
1667;B1820-11;18:23:40.3;-11:15:11;3.573615;-1.761e-14;6.28;2.48e+33;
1668;J1823-1126;18:23:19.8;-11:26:04;0.541555;-1.071e-14;8.72;2.29e+32;
1669;J1823-1347;18:23:24.2;-13:47:54;1.620464;-2.521e-14;11.14;1.61e+33;
1670;J1823-1526;18:23:21.4;-15:26:22;0.615231;-1.709e-15;9.17;4.15e+31;
1671;J1823-1807;18:23:09.6;-18:07:33;0.610951;-1.040e-16;6.64;2.51e+30;
1672;B1820-30A;18:23:40.4;-30:21:40.1;183.823389;-1.140e-13;12.10;8.28e+35;
1673;B1820-30B;18:23:41.5;-30:21:40.9;2.641335;-2.086e-16;12.10;2.18e+31;
1674;J1823-3021C;18:23:41.1;-30:21:38.4;2.463443;-1.359e-15;12.10;1.32e+32;
1675;J1823-3021D;18:23:40.5;-30:21:43.6;331.119221;*;12.10;*;
1676;J1823-3021E;18:23:40.5;-30:21:40.2;227.583068;*;12.10;*;
1677;J1823-3021F;18:23:40.5;-30:21:40.2;206.185567;*;12.10;*;
1678;B1820-31;18:23:46.7;-31:06:49.7;3.520453;-3.628e-14;1.66;5.04e+33;
1679;J1824-0127;18:24:53.4;-01:27:51.4;0.400085;-6.261e-16;2.21;9.89e+30;
1680;B1821-11;18:24:29.5;-11:18:42.6;2.294846;-1.872e-14;8.03;1.70e+33;
1681;J1824-1159;18:24:56.1;-11:59:53.4;2.758681;-4.094e-14;6.09;4.46e+33;
1682;J1824-1350;18:24:50.1;-13:50:21.0;0.716025;-3.112e-16;7.06;8.80e+30;
1683;J1824-1423;18:24:57.3;-14:23:05.3;2.782460;-3.037e-15;6.05;3.34e+32;
1684;J1824-1500;18:24:14.1;-15:00:33;2.425830;-4.460e-15;8.30;4.27e+32;
1685;B1821-19;18:24:00.4;-19:45:51.7;5.281644;-1.459e-13;3.70;3.04e+34;
1686;J1824-2233;18:24:10.3;-22:33:11;0.860775;-2.228e-16;4.26;7.57e+30;
1687;J1824-2328;18:24:28.6;-23:28:17;0.664066;-7.672e-16;5.76;2.01e+31;
1688;B1821-24A;18:24:32.0;-24:52:10.8;327.405590;-1.735e-13;5.50;2.24e+36;
1689;J1824-2452B;18:24:32.8;-24:52:11.2;152.741714;*;5.50;*;
1690;J1824-2452C;18:24:32.8;-24:52:11.2;240.442414;*;5.50;*;
1691;J1824-2452D;18:24:32.8;-24:52:11.2;12.526305;*;5.50;*;
1692;J1824-2452E;18:24:32.8;-24:52:11.2;184.501845;*;5.50;*;
1693;J1824-2452F;18:24:32.8;-24:52:11.2;407.996736;*;5.50;*;
1694;J1824-2452G;18:24:32.8;-24:52:11.2;169.233373;*;5.50;*;
1695;J1824-2452H;18:24:32.8;-24:52:11.2;216.029380;*;5.50;*;
1696;J1824-2452I;18:24:32.5;-24:52:08.6;254.333031;-0.000e+00;5.50;*;
1697;J1824-2452J;18:24:32.8;-24:52:11.2;247.586036;*;5.50;*;
1698;J1824-2452K;18:24:32.8;-24:52:11.2;224.164985;*;5.50;*;
1699;J1824-2452L;18:24:32.8;-24:52:11.2;243.902439;*;5.50;*;
1700;J1824-2537;18:24:30.5;-25:37:19;4.477874;-8.826e-15;5.48;1.56e+33;
1701;B1822+00;18:25:15.3;+00:04:19.7;1.283780;-1.444e-15;2.26;7.32e+31;
1702;J1825-0319;18:25:55.9;-03:19:57.5;219.609941;-3.280e-16;3.26;2.84e+33;
1703;B1822-09;18:25:30.6;-09:35:22.3;1.300380;-8.878e-14;0.30;4.56e+33;
1704;J1825-1108;18:25:18.3;-11:08:54;0.519245;-5.123e-16;2.71;1.05e+31;
1705;B1822-14;18:25:02.9;-14:46:52.6;3.581830;-2.910e-13;5.45;4.11e+34;
1706;J1825-31;18:25:58;-31:02:20;0.419815;*;5.38;*;
1707;J1825-33;18:26:02;-33:21;0.786658;*;1.58;*;
1708;B1823-11;18:26:05.4;-11:31:43.6;0.477752;-1.121e-15;4.83;2.11e+31;
1709;J1826-1256;18:26:08.5;-12:56:33.0;9.072459;-9.997e-12;*;3.58e+36;
1710;B1823-13;18:26:13.1;-13:34:46.8;9.853499;-7.306e-12;4.12;2.84e+36;
1711;J1826-1419;18:26:42.3;-14:19:21.6;1.297656;-1.479e-14;3.59;7.58e+32;
1712;J1826-1526;18:26:12.6;-15:26:03;2.617302;-7.430e-15;10.87;7.68e+32;
1713;J1827-0750;18:27:02.7;-07:50:19.2;3.696830;-2.111e-14;7.39;3.08e+33;
1714;J1827-0934;18:27:45.8;-09:34:16.4;1.951037;-2.751e-14;4.47;2.12e+33;
1715;B1824-10;18:27:05.4;-09:58:43.1;4.069058;-1.660e-14;6.15;2.67e+33;
1716;J1828-0611;18:28:20.7;-06:11:51.5;3.711750;-2.011e-14;8.76;2.95e+33;
1717;J1828+0625;18:28:28.0;+06:25:00.5;275.482094;*;1.18;*;
1718;J1828-1007;18:28:30.3;-10:07:10.1;6.527544;-2.614e-14;4.72;6.74e+33;
1719;J1828-1057;18:28:33.2;-10:57:26;4.059635;-3.412e-13;4.27;5.47e+34;
1720;J1828-1101;18:28:18.8;-11:01:50.9;13.878936;-2.853e-12;7.26;1.56e+36;
1721;J1828-1336;18:28:42.8;-13:36:45;1.162342;-1.344e-15;7.99;6.17e+31;
1722;J1828+1359;18:28:53.3;+13:59:35.3;1.348364;-1.325e-15;3.29;7.05e+31;
1723;J1828-2119;18:28:21.5;-21:19:56;1.943547;-4.785e-15;12.56;3.67e+32;
1724;J1829+0000;18:29:47.1;+00:00:08.5;5.021406;-1.323e-14;3.32;2.62e+33;
1725;J1829-0734;18:29:05.3;-07:34:22;3.140695;-4.724e-14;5.45;5.86e+33;
1726;J1829-1011;18:29:06.0;-10:11:25;1.206031;7.273e-18;7.37;*;
1727;B1826-17;18:29:43.1;-17:51:03.9;3.255919;-5.885e-14;5.49;7.57e+33;
1728;J1829+2456;18:29:34.6;+24:56:18.1;24.384401;-3.122e-17;0.74;3.01e+31;
1729;J1830-0052;18:30:30.7;-00:52:54.0;2.892698;-1.980e-15;7.10;2.26e+32;
1730;J1830-0131;18:30:19.6;-01:31:48.1;2.185621;-3.018e-14;2.68;2.60e+33;
1731;J1830-10;18:30:06;-10:39;4.077306;*;4.01;*;
1732;B1828-11;18:30:47.5;-10:59:27.9;2.468872;-3.659e-13;3.58;3.57e+34;
1733;J1830-1135;18:30:01.7;-11:35:32;0.160732;-1.234e-15;4.36;7.83e+30;
1734;J1830-1313;18:30:41.9;-13:13:16.2;1.338352;-3.070e-15;10.42;1.62e+32;
1735;J1830-1414;18:30:00.3;-14:14:37;1.296189;-1.280e-16;7.81;6.55e+30;
1736;J1831-0823;18:31:36.3;-08:23:23.9;1.633632;-8.250e-16;4.41;5.32e+31;
1737;J1831-0952;18:31:34.3;-09:52:01.7;14.866165;-1.840e-12;4.33;1.08e+36;
1738;J1831-1223;18:31:12.8;-12:23:31;0.349902;-6.700e-16;5.51;9.26e+30;
1739;J1831-1329;18:31:55.9;-13:29:56;0.461749;-6.370e-16;6.48;1.16e+31;
1740;J1831-1423;18:31:29.1;-14:23:46;1.968716;-4.243e-15;8.02;3.30e+32;
1741;J1832+0029;18:32:50.7;+00:29:27;1.872949;-5.300e-15;1.45;3.92e+32;
1742;J1832-0644;18:32:42.6;-06:44:01.8;1.343553;-6.695e-14;8.81;3.55e+33;
1743;B1829-08;18:32:37.0;-08:27:03.6;1.544896;-1.525e-13;5.20;9.30e+33;
1744;J1832-0836;18:32:27.5;-08:36:54.9;367.767116;-1.166e-15;1.40;1.69e+34;
1745;B1829-10;18:32:40.8;-10:21:32.7;3.027055;-3.850e-14;6.43;4.60e+33;
1746;J1832-28;18:32:30;-28:43;5.017561;*;6.50;*;
1747;J1833-0209;18:33:05.4;-02:09:16.4;3.425471;-3.232e-14;9.25;4.37e+33;
1748;B1831-03;18:33:41.9;-03:39:04.3;1.456231;-8.814e-14;5.07;5.07e+33;
1749;J1833-0556;18:33:38.8;-05:56:05;0.657227;-5.530e-16;7.37;1.43e+31;
1750;J1833-0559;18:33:07.6;-05:59:25;2.068428;-5.283e-14;5.83;4.31e+33;
